Exception,AERO,BAEN,BMEN,CHEN,CLEN,CLEN-GV,CVEN,CSCE,ECEN,ETID,ISEN,ITDE,MEEN,MSEN,NUEN,OCEN,PETE
Admitted After 12th day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-Op,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galveston Campus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Internship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOS Coach,0.5,1,0.5,0.5,0.5,0,0.5,1,1,0.5,0.5,1,0.5,1,1,0.5,0.5
ECOS Fellow,0.5,1,0.5,0.5,0.5,0,0.5,1,1,0.5,0.5,1,0.5,1,1,0.5,0.5
Ambassador,0.5,1,0.5,0.5,0.5,0,0.5,1,1,0.5,0.5,1,0.5,1,1,0.5,0.5
Excom,0.5,1,0.5,0.5,0.5,0,0.5,1,1,0.5,0.5,1,0.5,1,1,0.5,0.5
Family Leave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical Leave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taking the semester off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not in ecampus and cohort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missionary work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Study abroad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not in EH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withdrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
